sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
sewage_82,600,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,9.63070239,biomass
sewage_83,600,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,20.48104956,biomass
sewage_84,600,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,7.439286812,biomass
sewage_85,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,5.423838909,biomass
sewage_86,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,17.04436642,biomass
sewage_87,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,15.34130894,biomass
sewage_88,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,11.17174038,biomass
sewage_89,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,16.18655693,biomass
sewage_90,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,13.3105802,biomass
sewage_91,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,19.64980545,biomass
sewage_93,600,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,32.87388008,biomass
sewage_94,600,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,34.4422043,biomass
sewage_95,600,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,19.50303381,biomass
sewage_97,600,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,37.66432284,biomass
sewage_98,600,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,45.22686025,biomass
sewage_99,600,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,38.49794888,biomass
sewage_100,800,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,15.97417181,biomass
sewage_101,800,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,23.89558233,biomass
sewage_102,800,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,26.34833391,biomass
sewage_103,800,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,50.46594982,biomass
sewage_104,800,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,26.90114068,biomass
sewage_105,800,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,40.77153309,biomass
sewage_106,800,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,31.12033195,biomass
sewage_107,800,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,25.82089552,biomass
sewage_108,800,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,25.20024646,biomass
sewage_109,800,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,61.55971753,biomass
sewage_111,800,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,40.55106319,biomass
sewage_112,800,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,44.67697907,biomass
sewage_113,800,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,47.58925285,biomass
sewage_114,800,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,47.49232344,biomass
sewage_115,800,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,51.11459969,biomass
sewage_117,800,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,46.75608235,biomass
sewage_118,1000,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,44.68283582,biomass
sewage_119,1000,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,36.70454545,biomass
sewage_120,1000,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,33.18250377,biomass
sewage_121,1000,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,39.07319642,biomass
sewage_122,1000,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,40.80442125,biomass
sewage_123,1000,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,42.69406393,biomass
sewage_124,1000,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,47.36283186,biomass
sewage_125,1000,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,44.04128871,biomass
sewage_126,1000,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,50.51783659,biomass
sewage_127,1000,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,51.94158646,biomass
sewage_128,1000,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,50.46594982,biomass
sewage_129,1000,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,51.94127243,biomass
sewage_130,1000,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,48.37149307,biomass
sewage_131,1000,5.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,51.76366843,biomass
sewage_132,1000,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,52.60351317,biomass
sewage_133,1000,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,54.7536433,biomass
sewage_134,1000,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,55.74526996,biomass
sewage_135,1000,10.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,57.90435577,biomass
sewage_137,600,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,8.79088785,biomass
sewage_138,600,0.5,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,11.96046129,biomass
sewage_139,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,15.45375471,biomass
sewage_140,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,10.42105263,biomass
sewage_141,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,19.7689769,biomass
sewage_142,600,1.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,12.11473909,biomass
sewage_143,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,34.55532926,biomass
sewage_145,600,2.0,1.0,1000,3.2,53.7,6.41,36.69,32.4,4.6,17.11,3.9,2.1,1.5,1.703703704,0.396064815,13.943,46.70679887,biomass
