sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
digestate_pe_97,400,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,9.983291562,mix
digestate_pe_99,400,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,8.571428571,mix
digestate_pe_100,400,10.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,15.76405657,mix
digestate_pe_101,400,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,5.23465704,mix
digestate_pe_102,600,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,35.19224108,mix
digestate_pe_103,600,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,62.34652115,mix
digestate_pe_105,600,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,84.8967152,mix
digestate_pe_106,600,10.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,46.33230979,mix
digestate_pe_148,600,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.70669358,mix
digestate_pe_149,600,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,44.49712157,mix
digestate_pe_107,800,10.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,61.71929825,mix
digestate_pe_108,800,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,64.99473869,mix
digestate_pe_110,800,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,68.84283247,mix
digestate_pe_111,800,10.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,63.27150084,mix
digestate_pe_114,1000,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,65.89415427,mix
digestate_pe_116,1000,10.0,1.0,1000,7.854,62.039,11.858,18.249,48.41304,7.20465,16.255,1.85444,0.16803,0.00092,1.661,0.308,22.2954,66.86103013,mix
digestate_pe_117,1000,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,64.8324515,mix
digestate_pe_144,1200,10.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.29699372,mix
