sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
refuse_derived_1,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,33.33333333,plastic
refuse_derived_2,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,10.11904762,plastic
refuse_derived_5,800,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,25.46583851,plastic
refuse_derived_6,800,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,30.44086774,plastic
refuse_derived_7,1000,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,30.92921838,plastic
refuse_derived_10,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,81.07266436,plastic
refuse_derived_11,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,13.1147541,plastic
refuse_derived_13,800,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,19.0023753,plastic
refuse_derived_14,1000,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,48.74079814,plastic
refuse_derived_15,1000,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,40.83181542,plastic
refuse_derived_17,600,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,16.57773035,plastic
refuse_derived_18,600,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,5.278380333,plastic
refuse_derived_19,600,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,7.727593507,plastic
refuse_derived_21,800,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,10.21922428,plastic
refuse_derived_22,800,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,13.17579663,plastic
